'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
21.0554453,94,65.4288356
21.0759396,104,65.5274829
21.0964338,113,65.7679645
21.1169281,71,66.3285292
21.1374223,66,67.5575134
21.1579166,68,69.5085023
21.1784109,71,70.2341443
21.1989051,79,67.7653548
21.2193994,82,66.2616387
21.2398937,84,65.9435755
21.2603879,84,66.2947862
21.2808822,64,67.204879
21.3013764,68,67.895389
21.3218707,61,67.0310671
21.342365,65,65.8905164
21.3628592,74,65.2977174
21.3833535,77,65.0706359
21.4038478,63,64.9918792
21.424342,64,64.9858641
21.4448363,67,64.9937795
21.4653305,64,64.9249703
21.4858248,76,64.8113398
21.5063191,57,64.7288858
21.5268133,64,64.6799427
21.5473076,69,64.6442318
21.5678019,70,64.6132888
21.5882961,50,64.5846654
21.6087904,69,64.5574671
21.6292846,69,64.5312779
21.6497789,62,64.5058877
21.6702732,77,64.4812145
21.6907674,54,64.4573062
21.7112617,51,64.4343905
21.731756,74,64.4126286
21.7522502,61,64.39087
21.7727445,59,64.3671129
21.7932387,78,64.3432706
21.813733,82,64.3211662
21.8342273,58,64.3006335
21.8547215,51,64.2817835
21.8752158,73,64.265099
21.8957101,55,64.251563
21.9162043,62,64.2456813
21.9366986,49,64.2592438
21.9571928,51,64.3172279
21.9776871,59,64.4686945
21.9981814,62,64.7263682
22.0186756,55,64.8267041
22.0391699,77,64.4781888
22.0596642,52,64.2428033
22.0801584,61,64.1775589
22.1006527,70,64.2162788
22.1211469,68,64.3602944
22.1416412,63,64.5486479
22.1621355,54,64.5139063
22.1826297,74,64.2005851
22.203124,56,64.0232405
22.2236183,60,63.9582837
22.2441125,64,63.9394736
22.2646068,59,63.9513101
22.2851011,57,63.9671273
22.3055953,65,63.9244769
22.3260896,55,63.8445701
22.3465838,72,63.799203
22.3670781,76,63.7764083
22.3875724,57,63.7673334
22.4080666,62,63.7689907
22.4285609,54,63.7574877
22.4490552,64,63.7085867
22.4695494,70,63.6707073
22.4900437,59,63.6466674
22.5105379,73,63.6304855
22.5310322,85,63.6213796
22.5515265,59,63.6149077
22.5720207,50,63.5956814
22.592515,66,63.5616338
22.6130093,61,63.5310533
22.6335035,68,63.5076643
22.6539978,74,63.4876598
22.674492,56,63.4696228
22.6949863,65,63.4528211
22.7154806,68,63.4353475
22.7359748,66,63.4151955
22.7564691,60,63.3950615
22.7769634,65,63.3761964
22.7974576,54,63.3579343
22.8179519,78,63.3399106
22.8384461,81,63.3220325
22.8589404,72,63.3042574
22.8794347,38,63.2865714
22.8999289,50,63.2689801
22.9204232,59,63.2515114
22.9409175,75,63.2342218
22.9614117,62,63.2171012
22.981906,74,63.1997994
23.0024002,62,63.182016
23.0228945,70,63.1644775
23.0433888,81,63.1471751
23.063883,74,63.13001
23.0843773,68,63.1129731
23.1048716,61,63.0960302
23.1253658,59,63.0789847
23.1458601,64,63.0617383
23.1663543,46,63.0446522
23.1868486,50,63.0276911
23.2073429,62,63.0107968
23.2278371,62,62.9939473
23.2483314,62,62.977126
23.2688257,66,62.9603398
23.2893199,63,62.9436411
23.3098142,69,62.9270107
23.3303084,65,62.9104445
